id,id_scanned_kanban,kanban,location,delivery,line_no,stock_address,supplier_name,parts_code,parts_name,quantity,kanban_num,scooter_station,scan_date_time,request_date_time,requested_by,print_date_time,selector_ip,selection_date_time,status
6227093,REQ:2201210499927,"F11014570457016679               01605102 KL1                                                       ",4570,4570,5102 KL1,AB100203,11599W9A05F-B,16679,"DS-BE-5F-B   ",800,160,FA2,2022-01-21 04:35:39.00,2022-01-21 04:36:20.00,DI-qasdFHN457NBccXl,2022-01-21 04:41:41.00,172.25.119.232,2022-01-21 04:41:37.00,Ongoing Picking
6227227,REQ:22012104f971c,"F110145704570UT2                 3718TR175A-71                                                      ",4570,4570,TR175A-71,WR100109,NULL,UT2,"CIVUS 0.35 P ",1500,3718,WT10,2022-01-21 04:01:32.00,2022-01-21 04:05:26.00,DI-m9tzWTLzCxpMHrYkA,2022-01-21 04:57:34.00,172.25.117.170,2022-01-21 04:56:58.00,Ongoing Picking
6227375,REQ:2201210526000,"F11014570457035113               0159T20 17KL1                                                      ",4570,4570,T20 17KL1,C60501,M36S08K4Q4,35113,"JMX36-F03-8   ",8000,159,WT11,2022-01-21 05:41:36.00,2022-01-21 05:41:53.00,PD-GKDHGKDMGKLDLKVMS40626596DHJ4D,2022-01-21 05:42:44.00,172.25.117.170,2022-01-21 05:42:42.00,Ongoing Picking
6227457,REQ:2201210597b9e,"F11014570457022408               1702T20 I11KL1                                                     ",4570,4570,T20 I11KL1,B20102,M34S75C4F1,22408,"JSNF03   ",7500,1702,WT11,2022-01-21 05:44:23.00,2022-01-21 05:44:40.00,PD-GKDHGKDMGKLDLKVMS40626596DHJ4D,2022-01-21 05:47:38.00,172.25.117.170,2022-01-21 05:47:36.00,Ongoing Picking
6227480,REQ:2201210597b9e,"F11014570457001N53               0348T20 SPDKL1                                                     ",4570,4570,T20 SPDKL1,AD220102,MX67S059SQA,01N53,"ABJSN-57FR-Y   ",324,348,WT11,2022-01-21 05:44:20.00,2022-01-21 05:44:40.00,PD-GKDHGKDMGKLDLKVMS40626596DHJ4D,2022-01-21 05:47:39.00,172.25.117.170,2022-01-21 05:47:36.00,Ongoing Picking
6227492,REQ:2201210588b9a,"F11014570457035112               0143TKR SPA KL                                                     ",4570,4570,TKR SPA KL,AB10202,MX36002SQ4,35112,"JMX36-BO-4FB.2-Y   ",1300,143,WT12,2022-01-21 05:50:03.00,2022-01-21 05:55:56.00,PD-HNFAGJSAdqwOro3tugs56fofsjfosd36Y,2022-01-21 05:59:59.00,172.25.117.170,2022-01-21 05:59:55.00,Ongoing Picking
6227510,REQ:220121054306b,"F110145704570UB9                 1911HONDA 3MOA                                                     ",4570,4570,HONDA 3MOA,WR130122,NULL,UB9,"CIVUS 1.25 R ",900,1911,WT12,2022-01-21 05:50:31.00,2022-01-21 05:55:47.00,PD-HNFAGJSAdqwOro3tugs56fofsjfosd36Y,2022-01-21 06:00:09.00,172.25.119.232,2022-01-21 06:00:06.00,Ongoing Picking
6227522,REQ:220121054306b,"F110145704570UT2                 3901TKR J51 KL                                                     ",4570,4570,TKR J51 KL,WR100109,NULL,UT2,"CIVUS 0.35 P ",1500,3901,WT12,2022-01-21 05:50:34.00,2022-01-21 05:55:47.00,PD-HNFAGJSAdqwOro3tugs56fofsjfosd36Y,2022-01-21 06:00:27.00,172.25.119.232,2022-01-21 06:00:06.00,Ongoing Picking
6227526,REQ:220121054306b,"F110145704570UV6                 3430TKRATR-240                                                     ",4570,4570,TKRATR-240,WR100101,NULL,UV6,"CIVUS 0.35 G ",2600,3430,WT12,2022-01-21 05:50:37.00,2022-01-21 05:55:47.00,PD-HNFAGJSAdqwOro3tugs56fofsjfosd36Y,2022-01-21 06:00:27.00,172.25.119.232,2022-01-21 06:00:06.00,Ongoing Picking
6227528,REQ:2201210588b9a,"F11014570457030285               05403M0A-SAM42                                                     ",4570,4570,3M0A-SAM42,AC10201,MX34024SF1,30285,"JSN-24F-GR   ",504,540,WT12,2022-01-21 05:49:14.00,2022-01-21 05:55:56.00,PD-HNFAGJSAdqwOro3tugs56fofsjfosd36Y,2022-01-21 06:00:33.00,172.25.117.170,2022-01-21 05:59:55.00,Ongoing Picking
6227540,REQ:220121051dd45,"F110145704570UV6                 3456SAM42-A33                                                      ",4570,4570,SAM42-A33,WR100101,NULL,UV6,"CIVUS 0.35 G ",2600,3456,WT12,2022-01-21 05:48:01.00,2022-01-21 05:56:04.00,PD-HNFAGJSAdqwOro3tugs56fofsjfosd36Y,2022-01-21 06:01:19.00,172.25.119.232,2022-01-21 06:01:00.00,Ongoing Picking
6227561,REQ:220121051dd45,"F11014570457022342               0208TKRA P12 K                                                     ",4570,4570,TKRA P12 K,B170302,HE025TER-FM-SN,22342,"HSEF   ",10000,208,WT12,2022-01-21 05:48:33.00,2022-01-21 05:56:04.00,PD-HNFAGJSAdqwOro3tugs56fofsjfosd36Y,2022-01-21 06:01:45.00,172.25.119.232,2022-01-21 06:01:00.00,Ongoing Picking
6228334,REQ:220121084abe4,"F11014570457023571               0054J12 N12 KL                                                     ",4570,4570,J12 N12 KL,C130201,7009-2287-02,23571,"LAS206J-L2   ",1500,54,WT6,2022-01-21 08:09:48.00,2022-01-21 08:10:30.00,LV-jKcNcMrCgMBoPLVlnO143,2022-01-21 08:15:00.00,172.25.116.78,2022-01-21 08:14:42.00,Ongoing Picking
6228376,REQ:22012108c838f,"F11014570457033991               0646HONDA 3MOA                                                     ",4570,4570,HONDA 3MOA,B80101,7173-1873,33991,"FRT-972TY00030   ",1500,646,WT12,2022-01-21 08:11:25.00,2022-01-21 08:12:48.00,DI-ABCnM143bnjgKXUlm,2022-01-21 08:15:42.00,172.25.116.78,2022-01-21 08:15:35.00,Ongoing Picking
6228457,REQ:2201210860dc3,"F110145704570003V7               05511008 KL                                                        ",4570,4570,1008 KL,AB160101,NULL,003V7,"J72A-LVDS-JAE-05   ",80,551,FA6,2022-01-21 08:10:55.00,2022-01-21 08:13:39.00,PD-BLSMGLSGLSgg25465g65654glkfmlapr43l5,2022-01-21 08:18:46.00,172.25.117.48,2022-01-21 08:18:43.00,Ongoing Picking
6228458,REQ:2201210860dc3,"F110145704570003V7               05521008 KL                                                        ",4570,4570,1008 KL,AB160101,NULL,003V7,"J72A-LVDS-JAE-05   ",80,552,FA6,2022-01-21 08:10:57.00,2022-01-21 08:13:39.00,PD-BLSMGLSGLSgg25465g65654glkfmlapr43l5,2022-01-21 08:18:46.00,172.25.117.48,2022-01-21 08:18:43.00,Ongoing Picking
6228557,REQ:220121084aaf6,"F110145704570UT2                 4052JAM-F-A62                                                      ",4570,4570,JAM-F-A62,WR100109,NULL,UT2,"CIVUS 0.35 P ",1500,4052,WT4,2022-01-21 08:08:46.00,2022-01-21 08:13:53.00,DI-SE3UHMHWGo6fIkTsc,2022-01-21 08:21:36.00,172.25.118.197,2022-01-21 08:21:14.00,Ongoing Picking
6228571,REQ:220121084aaf6,"F110145704570UT2                 4097Y2R-F2-F63                                                     ",4570,4570,Y2R-F2-F63,WR100109,NULL,UT2,"CIVUS 0.35 P ",1500,4097,WT4,2022-01-21 08:08:41.00,2022-01-21 08:13:53.00,DI-SE3UHMHWGo6fIkTsc,2022-01-21 08:22:10.00,172.25.118.197,2022-01-21 08:21:14.00,Ongoing Picking
6228697,REQ:220121082fc62,"F11014570457031161               23571103 KL                                                        ",4570,4570,1103 KL,AB90101,7047-0195-30,31161,"YB-31-B   ",1000,2357,FA6,2022-01-21 08:17:08.00,2022-01-21 08:17:20.00,PD-BLSMGLSGLSgg25465g65654glkfmlapr43l5,2022-01-21 08:25:16.00,172.25.117.48,2022-01-21 08:25:11.00,Ongoing Picking
6228755,REQ:22012108f0911,"F11014570457000HF2               00145101 KL1                                                       ",4570,4570,5101 KL1,P170101,NULL,00HF2,"SB-FUNC-A40(G)-1   ",500,14,FA2,2022-01-21 08:18:56.00,2022-01-21 08:19:37.00,DI-he5X60fimJ8qx26hd,2022-01-21 08:26:51.00,172.25.118.197,2022-01-21 08:26:46.00,Ongoing Picking
6229423,REQ:22012108d600c,"F11014570457090025               00723018 KL                                                        ",4570,4570,3018 KL,F210404,PE?-??(W) R-550,90025,"PE-ROPE-W   ",500,72,FA15,2022-01-21 08:20:17.00,2022-01-21 08:20:50.00,PD-LASMVLKAfweJIOF26WQDd195ksaFMF,2022-01-21 08:41:14.00,172.25.118.197,2022-01-21 08:41:10.00,Ongoing Picking
6229568,REQ:22012108c99ad,"F11014570457000LSL               00021135 KL                                                        ",4570,4570,1135 KL,MAIG190102,16Q-51142,00LSL,"J30-GMSL-01   ",60,2,FA3,2022-01-21 08:22:22.00,2022-01-21 08:23:06.00,DI-L2aCR3MLE1iczWKk5,2022-01-21 08:45:19.00,172.25.117.48,2022-01-21 08:45:16.00,Ongoing Picking
6229798,REQ:220121081684e,"F11014570457033756               0774D01 K10 KL                                                     ",4570,4570,D01 K10 KL,A160103,29126-M2,33756,"PS-126-2   ",5000,774,WT10,2022-01-21 08:24:10.00,2022-01-21 08:24:39.00,DI-hElXQSp5XLasU708F,2022-01-21 08:50:16.00,172.25.118.197,2022-01-21 08:50:15.00,Ongoing Picking
6229800,REQ:220121081684e,"F11014570457017626               0885D01 L5 KL                                                      ",4570,4570,D01 L5 KL,B70103,29125-M2,17626,"PS-017-2   ",5000,885,WT10,2022-01-21 08:24:15.00,2022-01-21 08:24:39.00,DI-hElXQSp5XLasU708F,2022-01-21 08:50:16.00,172.25.118.197,2022-01-21 08:50:15.00,Ongoing Picking
